video,obj_id,frame,x1,y1,x2,y2
VIRAT_S_000200_01_000226_000268,0,0,0,0,1280,720
VIRAT_S_000200_01_000226_000268,1,5,798,608,936,704
VIRAT_S_000200_01_000226_000268,1,10,786,614,930,710
VIRAT_S_000200_01_000226_000268,1,15,772,616,924,718
VIRAT_S_000200_01_000226_000268,1,20,762,622,918,720
VIRAT_S_000200_01_000226_000268,1,25,750,626,898,720
VIRAT_S_000200_01_000226_000268,1,30,736,634,898,720
VIRAT_S_000200_01_000226_000268,1,35,732,640,888,720
VIRAT_S_000200_01_000226_000268,1,40,718,648,868,720
VIRAT_S_000200_01_000226_000268,1,45,704,656,854,720
VIRAT_S_000200_01_000226_000268,1,50,696,664,838,720
VIRAT_S_000200_01_000226_000268,1,55,684,684,808,720
VIRAT_S_000200_01_000226_000268,1,225,660,660,810,720
VIRAT_S_000200_01_000226_000268,1,230,660,670,794,720
VIRAT_S_000200_01_000226_000268,1,235,652,684,776,720
VIRAT_S_000200_01_000226_000268,2,5,1078,444,1200,520
VIRAT_S_000200_01_000226_000268,2,10,1080,448,1194,524
VIRAT_S_000200_01_000226_000268,2,15,1076,452,1182,530
VIRAT_S_000200_01_000226_000268,2,20,1046,458,1174,540
VIRAT_S_000200_01_000226_000268,2,25,1056,464,1156,546
VIRAT_S_000200_01_000226_000268,2,30,1040,470,1148,554
VIRAT_S_000200_01_000226_000268,2,35,1028,474,1140,564
VIRAT_S_000200_01_000226_000268,2,40,1018,480,1132,568
VIRAT_S_000200_01_000226_000268,2,45,1002,484,1124,576
VIRAT_S_000200_01_000226_000268,2,50,994,490,1114,584
VIRAT_S_000200_01_000226_000268,2,55,980,494,1106,592
VIRAT_S_000200_01_000226_000268,2,60,970,500,1098,600
VIRAT_S_000200_01_000226_000268,2,65,954,504,1080,612
VIRAT_S_000200_01_000226_000268,2,70,940,512,1078,618
VIRAT_S_000200_01_000226_000268,2,75,932,514,1068,624
VIRAT_S_000200_01_000226_000268,2,80,920,520,1064,634
VIRAT_S_000200_01_000226_000268,2,85,912,522,1054,640
VIRAT_S_000200_01_000226_000268,2,90,898,528,1046,642
VIRAT_S_000200_01_000226_000268,2,95,886,530,1038,654
VIRAT_S_000200_01_000226_000268,2,100,878,534,1034,654
VIRAT_S_000200_01_000226_000268,2,105,874,540,1024,656
VIRAT_S_000200_01_000226_000268,2,110,862,540,1018,658
VIRAT_S_000200_01_000226_000268,2,115,856,544,1010,664
VIRAT_S_000200_01_000226_000268,2,120,846,548,1008,664
VIRAT_S_000200_01_000226_000268,2,125,838,554,1004,670
VIRAT_S_000200_01_000226_000268,2,130,832,556,998,680
VIRAT_S_000200_01_000226_000268,2,135,824,560,988,680
VIRAT_S_000200_01_000226_000268,2,140,822,562,982,684
VIRAT_S_000200_01_000226_000268,2,145,816,564,974,692
VIRAT_S_000200_01_000226_000268,2,150,816,568,970,696
VIRAT_S_000200_01_000226_000268,2,155,814,570,970,698
VIRAT_S_000200_01_000226_000268,2,160,806,572,964,698
VIRAT_S_000200_01_000226_000268,2,165,798,576,960,696
VIRAT_S_000200_01_000226_000268,2,170,788,580,950,720
VIRAT_S_000200_01_000226_000268,2,175,782,584,970,720
VIRAT_S_000200_01_000226_000268,2,180,768,586,986,720
VIRAT_S_000200_01_000226_000268,2,185,744,594,1010,720
VIRAT_S_000200_01_000226_000268,2,190,736,602,1034,720
VIRAT_S_000200_01_000226_000268,2,195,716,610,1056,720
VIRAT_S_000200_01_000226_000268,3,200,900,630,1070,720
VIRAT_S_000200_01_000226_000268,3,205,928,620,1084,720
VIRAT_S_000200_01_000226_000268,3,210,946,612,1094,716
VIRAT_S_000200_01_000226_000268,3,215,966,606,1116,714
VIRAT_S_000200_01_000226_000268,3,220,982,592,1120,714
VIRAT_S_000200_01_000226_000268,3,225,998,584,1134,706
VIRAT_S_000200_01_000226_000268,3,230,1012,576,1144,704
VIRAT_S_000200_01_000226_000268,3,235,1024,568,1144,692
VIRAT_S_000200_01_000226_000268,3,240,1040,562,1148,678
VIRAT_S_000200_01_000226_000268,3,245,1050,552,1150,666
VIRAT_S_000200_01_000226_000268,3,250,1064,546,1204,656
VIRAT_S_000200_01_000226_000268,3,255,1080,538,1156,648
VIRAT_S_000200_01_000226_000268,3,260,1094,530,1154,636
VIRAT_S_000200_01_000226_000268,3,265,1104,526,1220,624
VIRAT_S_000200_01_000226_000268,3,270,1114,526,1228,618
VIRAT_S_000200_01_000226_000268,3,275,1130,526,1242,606
VIRAT_S_000200_01_000226_000268,3,280,1138,510,1242,594
VIRAT_S_000200_01_000226_000268,3,285,1158,498,1246,586
VIRAT_S_000200_01_000226_000268,3,290,1158,492,1252,580
VIRAT_S_000200_01_000226_000268,3,295,1162,486,1254,570
VIRAT_S_000200_01_000226_000268,3,300,1176,480,1254,560
VIRAT_S_000200_01_000226_000268,3,305,1188,474,1256,552
VIRAT_S_000200_01_000226_000268,3,310,1188,472,1256,542
VIRAT_S_000200_01_000226_000268,3,315,1198,472,1260,536
VIRAT_S_000200_01_000226_000268,4,200,708,614,892,720
VIRAT_S_000200_01_000226_000268,4,205,704,620,872,720
