duration,num_actors,avg_width,avg_height,regions_in_event,type
21,2,76.5,162.0,109,Talking
278,3,68.21385902031064,146.96774193548387,1116,Talking
290,4,67.79639175257732,150.99484536082474,1164,Talking
59,3,69.66666666666667,152.80555555555554,240,Talking
323,4,68.05787037037037,147.86111111111111,1423,Talking
116,3,65.98005698005699,142.3988603988604,507,Talking
590,4,62.09137055837564,141.60490693739425,2412,Talking
532,2,83.04502814258912,158.4765478424015,2210,Talking
6218,2,72.92072680495257,146.26129602830036,25385,Talking
115,2,60.90086206896552,104.41379310344828,573,Talking
269,3,44.6320987654321,93.679012345679,1080,Talking
3313,3,55.84661033997184,120.83202574934622,13851,Talking
104,2,49.70952380952381,113.71428571428572,514,Talking
275,3,50.82125603864734,123.46618357487922,1104,Talking
34,2,74.4,149.5,140,Person_Person_Interaction
97,2,77.49489795918367,143.81632653061226,392,Person_Person_Interaction
31,2,74.3125,149.5,128,Person_Person_Interaction
30,2,57.354838709677416,112.61290322580643,153,Person_Person_Interaction
477,2,50.81589958158996,107.9633891213389,2036,Interacts
7,2,56.0,106.375,32,Interacts
10,2,60.0,103.0,44,Interacts
25,2,52.5,107.0,104,Interacts
26,2,52.5,107.0,119,Interacts
20,2,49.88095238095238,101.76190476190476,105,Interacts
33,2,47.0,96.0,168,Interacts
11,2,52.5,107.0,48,Interacts
1823,2,48.41611842105263,107.03207236842104,7302,Interacts
63,2,57.125,94.40625,256,Interacts
43,2,53.0,104.0,176,Interacts
49,3,133.72297297297297,90.45270270270272,242,Unloading
13,3,118.37837837837836,112.29729729729728,63,Unloading
30,3,53.333333333333336,77.40860215053763,152,Object_Transfer
34,3,45.38095238095238,86.58095238095238,170,Object_Transfer
260,2,59.12643678160919,92.5919540229885,1324,Transport_HeavyCarry
443,2,56.2195945945946,85.32657657657657,2205,Transport_HeavyCarry
442,2,40.0823927765237,69.26410835214448,2180,Transport_HeavyCarry
45,2,140.93478260869566,138.5108695652174,184,Exiting
40,2,140.9268292682927,140.78048780487805,164,Exiting
29,2,184.9333333333333,120.23333333333332,120,Exiting
47,2,165.27083333333334,150.64583333333334,197,Entering
126,2,142.1771653543307,149.26771653543307,618,Entering
124,2,142.172,149.256,608,Entering
36,2,181.2027027027027,116.93243243243244,183,Entering
59,2,171.14166666666668,160.125,323,Opening
49,2,147.1,140.92,200,Opening
59,2,141.58333333333334,163.58333333333334,295,Opening
63,2,146.984375,142.8359375,256,Opening
66,2,141.83582089552235,163.73134328358208,330,Opening
32,2,179.04545454545453,118.34848484848484,132,Opening
30,2,176.5,117.0,153,Opening
79,2,167.0,147.5,320,Closing
52,2,141.83962264150944,160.00943396226415,212,Closing
22,2,145.3913043478261,145.2173913043478,113,Closing
27,2,142.41071428571428,167.21428571428572,112,Closing
25,2,145.42307692307693,145.03846153846155,128,Closing
21,2,183.5,122.5,88,Closing
23,2,184.70833333333331,124.33333333333331,120,Closing
73,1,216.4189189189189,192.7972972972973,296,vehicle_stopping
148,1,94.2953020134228,62.16778523489933,596,vehicle_stopping
47,1,167.83333333333334,176.97916666666666,192,vehicle_stopping
62,1,113.96825396825396,61.285714285714285,252,vehicle_stopping
26,1,301.7407407407408,182.88888888888889,108,vehicle_stopping
76,1,103.28571428571428,72.40259740259741,308,vehicle_stopping
83,1,161.76190476190476,177.23809523809524,336,vehicle_turning_right
120,1,114.11570247933884,43.09090909090909,484,vehicle_turning_right
49,1,138.32,47.34,200,vehicle_turning_right
12,1,304.2307692307692,168.30769230769232,52,vehicle_turning_right
126,1,298.3622047244094,147.1811023622047,508,vehicle_turning_right
44,1,115.17777777777778,45.15555555555556,180,vehicle_turning_right
22,1,59.0,72.0,92,activity_sitting
339,1,176.8029411764706,135.72058823529412,1385,vehicle_moving
561,1,233.48754448398577,132.30782918149467,2248,vehicle_moving
78,1,131.1012658227848,43.392405063291136,316,vehicle_moving
354,1,157.7718309859155,124.36901408450704,1426,vehicle_moving
137,1,180.44927536231884,186.64492753623188,552,vehicle_moving
540,1,151.45841035120148,96.7652495378928,2183,vehicle_moving
646,1,167.8160741885626,135.9938176197836,2601,vehicle_moving
25,1,71.0,165.0,104,specialized_texting_phone
58,1,304.79661016949154,173.1864406779661,236,vehicle_starting
28,1,280.48275862068965,147.24137931034485,116,vehicle_starting
12,1,98.3076923076923,46.0,52,vehicle_starting
52,1,204.81132075471697,199.7735849056604,212,vehicle_starting
16,1,191.05882352941177,174.05882352941177,68,vehicle_starting
7,1,152.25,37.125,32,vehicle_starting
758,1,55.93017127799737,108.45191040843214,3036,specialized_talking_phone
5,1,56.0,110.0,30,activity_gesturing
8,1,64.77777777777777,85.77777777777777,45,activity_gesturing
9,1,59.0,87.4,40,activity_gesturing
22,1,70.26086956521739,122.56521739130434,92,activity_gesturing
42,1,65.97674418604652,147.0,172,activity_gesturing
29,1,66.33333333333333,156.0,120,activity_gesturing
47,1,98.02083333333331,158.70833333333334,192,activity_gesturing
124,1,79.752,148.112,500,activity_gesturing
17,1,84.5,153.0,72,activity_gesturing
47,1,63.9375,138.5625,235,activity_gesturing
39,1,68.2,136.25,176,activity_gesturing
26,1,56.0,136.66666666666666,108,activity_gesturing
23,1,75.0,145.0,96,activity_gesturing
10,1,75.0,145.0,44,activity_gesturing
34,1,75.0,145.0,140,activity_gesturing
14,1,75.0,145.0,60,activity_gesturing
20,1,75.0,145.0,84,activity_gesturing
44,1,45.977777777777774,99.62222222222222,223,activity_gesturing
18,1,47.578947368421055,94.3157894736842,76,activity_gesturing
36,1,59.0,128.0,181,activity_gesturing
46,1,79.06382978723404,163.10638297872342,188,activity_gesturing
12,1,77.38461538461539,171.84615384615384,52,activity_gesturing
15,1,100.25,176.5625,64,activity_gesturing
8,1,85.44444444444444,178.11111111111111,36,activity_gesturing
5,1,90.16666666666669,164.0,24,activity_gesturing
8,1,95.0,164.55555555555554,36,activity_gesturing
8,1,106.66666666666669,172.22222222222223,36,activity_gesturing
34,1,78.0,168.0,140,activity_gesturing
11,1,78.0,168.0,48,activity_gesturing
13,1,79.0,168.0,56,activity_gesturing
14,1,80.33333333333333,163.4,60,activity_gesturing
38,1,82.05128205128206,143.0,156,activity_gesturing
82,1,75.57831325301204,144.95180722891567,332,activity_gesturing
114,1,92.61739130434782,161.42608695652174,460,activity_gesturing
16,1,77.0,148.0,68,activity_gesturing
33,1,74.0,143.0,136,activity_gesturing
14,1,74.0,143.0,60,activity_gesturing
22,1,74.0,143.0,92,activity_gesturing
42,1,57.72093023255814,106.44186046511628,172,activity_gesturing
23,1,51.04166666666666,120.0,96,activity_gesturing
12,1,111.0,36.15384615384615,62,vehicle_turning_left
105,1,213.33962264150944,183.7075471698113,424,vehicle_turning_left
89,1,278.3777777777778,162.36666666666667,360,vehicle_turning_left
24,1,139.48,31.92,106,vehicle_turning_left
147,1,255.1418918918919,153.30405405405406,592,vehicle_turning_left
102,1,49.6990291262136,112.3980582524272,503,activity_standing
102,1,62.83495145631068,68.68932038834951,412,activity_standing
333,1,56.87425149700599,81.10179640718563,1336,activity_standing
431,1,54.61805555555556,127.875,1728,activity_standing
231,1,58.59051724137931,65.52586206896552,992,activity_standing
195,1,51.10714285714285,112.87244897959184,959,activity_standing
91,1,51.20652173913044,61.25,454,activity_standing
83,1,60.392857142857146,106.72619047619048,336,activity_standing
10,1,74.0,148.0,44,activity_standing
284,1,65.69824561403509,77.87368421052632,1303,activity_standing
170,1,60.19298245614035,103.21637426900584,848,activity_standing
1146,1,69.34437663469922,153.00697471665214,4601,activity_standing
165,1,86.00602409638554,147.93373493975903,664,activity_standing
3912,1,66.03858931765909,141.71658573984155,15995,activity_standing
3816,1,34.05894681687189,46.32617238669112,15287,activity_standing
341,1,34.953216374269005,55.48830409356725,1368,activity_standing
305,1,47.532679738562095,96.23856209150328,1224,activity_standing
16,1,48.0,117.0,68,activity_standing
23,1,48.0,117.0,96,activity_standing
3619,1,61.55193370165746,128.15690607734803,15075,activity_standing
100,1,52.00990099009901,132.98019801980195,404,activity_standing
146,1,52.0,133.0,588,activity_standing
42,1,79.88372093023256,162.88372093023256,212,activity_standing
36,1,79.0,163.0,148,activity_standing
29,1,82.1,164.3,120,activity_standing
17,1,82.38888888888889,172.5,72,activity_standing
50,1,79.01960784313725,163.0,204,activity_standing
5387,1,81.35244988864143,169.3353749072012,21908,activity_standing
14,1,74.0,151.0,60,activity_standing
98,1,59.0,124.0,429,activity_standing
