video,frame,subject_type
VIRAT_S_000000,13267.0,Push_Pulled_Object
VIRAT_S_000000,18916.0,Push_Pulled_Object
VIRAT_S_000000,18982.0,Push_Pulled_Object
VIRAT_S_000000,3285.0,Push_Pulled_Object
VIRAT_S_000000,19577.0,Vehicle
VIRAT_S_000000,1971.0,Person
VIRAT_S_000000,9414.0,Person
VIRAT_S_000000,18886.0,Vehicle
VIRAT_S_000000,19468.0,Vehicle
VIRAT_S_000001,17139.0,Other
VIRAT_S_000001,10074.0,Other
VIRAT_S_000002,4012.0,Prop
VIRAT_S_000005,20617.0,Prop
VIRAT_S_000200_03_000657_000899,6615.0,Person
VIRAT_S_000201_05_001081_001215,2634.0,Person
VIRAT_S_000201_06_001354_001397,0.0,Parking_Meter
VIRAT_S_000201_07_001485_001581,0.0,Parking_Meter
VIRAT_S_000201_08_001652_001838,5199.0,Person
VIRAT_S_000201_08_001652_001838,5198.0,Person
VIRAT_S_000202_04_001704_001746,487.0,Person
VIRAT_S_000202_04_001704_001746,487.0,Vehicle
VIRAT_S_000204_04_000738_000977,3940.0,Person
VIRAT_S_000204_04_000738_000977,1427.0,Vehicle
VIRAT_S_000204_04_000738_000977,1427.0,Person
VIRAT_S_000204_04_000738_000977,2807.0,Vehicle
VIRAT_S_000204_04_000738_000977,2807.0,Person
VIRAT_S_000204_04_000738_000977,2006.0,Vehicle
VIRAT_S_000204_04_000738_000977,1937.0,Vehicle
VIRAT_S_000204_04_000738_000977,2326.0,Person
VIRAT_S_000204_04_000738_000977,2326.0,Vehicle
VIRAT_S_000204_04_000738_000977,2130.0,Vehicle
VIRAT_S_000204_04_000738_000977,2054.0,Person
VIRAT_S_000204_04_000738_000977,2054.0,Vehicle
VIRAT_S_040000_03_000221_000372,2973.0,Prop
VIRAT_S_040000_03_000221_000372,746.0,Vehicle
VIRAT_S_040001_00_000035_000319,4254.0,Push_Pulled_Object
VIRAT_S_040001_00_000035_000319,4017.0,Person
VIRAT_S_040001_01_000448_001101,6539.0,Person
VIRAT_S_040001_01_000448_001101,2106.0,Person
VIRAT_S_040001_01_000448_001101,6573.0,Vehicle
VIRAT_S_040001_01_000448_001101,12268.0,Vehicle
VIRAT_S_040001_01_000448_001101,3956.0,Vehicle
VIRAT_S_040001_01_000448_001101,4792.0,Vehicle
VIRAT_S_040001_01_000448_001101,2740.0,Vehicle
VIRAT_S_040001_01_000448_001101,1624.0,Vehicle
VIRAT_S_040003_04_000758_001118,5597.0,Person
VIRAT_S_040003_04_000758_001118,10425.0,Vehicle
VIRAT_S_040003_04_000758_001118,1501.0,Vehicle
VIRAT_S_040004_00_000011_000093,949.0,Vehicle
VIRAT_S_040005_07_001026_001223,5349.0,Prop
VIRAT_S_040005_07_001026_001223,5126.0,Person
VIRAT_S_040101_03_000460_000551,976.0,Door
VIRAT_S_040101_03_000460_000551,976.0,Door
VIRAT_S_040101_03_000460_000551,1006.0,Person
VIRAT_S_040101_04_000562_000679,227.0,Door
VIRAT_S_040101_04_000562_000679,3037.0,Person
VIRAT_S_040101_04_000562_000679,3035.0,Person
VIRAT_S_040101_04_000562_000679,227.0,Door
VIRAT_S_040101_04_000562_000679,260.0,Person
VIRAT_S_040102_08_000986_001090,2638.0,Person
VIRAT_S_040102_10_001258_001408,3753.0,Vehicle
VIRAT_S_040102_10_001258_001408,3753.0,Person
VIRAT_S_040103_05_000729_000804,2163.0,Person
VIRAT_S_040103_05_000729_000804,197.0,Vehicle
VIRAT_S_040103_05_000729_000804,2113.0,Person
VIRAT_S_040104_01_000227_000457,4890.0,Person
VIRAT_S_040104_01_000227_000457,4336.0,Person
VIRAT_S_040104_01_000227_000457,5366.0,Prop
VIRAT_S_040104_01_000227_000457,5078.0,Person
VIRAT_S_040104_01_000227_000457,5578.0,Person
VIRAT_S_040104_05_000939_001116,2180.0,Person
VIRAT_S_040104_06_001121_001241,2087.0,Person
VIRAT_S_040104_06_001121_001241,2087.0,Person
VIRAT_S_040104_08_001353_001470,669.0,Person
VIRAT_S_040104_08_001353_001470,1192.0,Person
VIRAT_S_040104_08_001353_001470,1912.0,Vehicle
VIRAT_S_050000_01_000207_000361,4211.0,Construction_Vehicle
VIRAT_S_050000_01_000207_000361,4211.0,Person
VIRAT_S_050000_01_000207_000361,810.0,Vehicle
VIRAT_S_050000_01_000207_000361,3403.0,Person
VIRAT_S_050000_01_000207_000361,3520.0,Person
VIRAT_S_050000_01_000207_000361,3511.0,Person
VIRAT_S_050000_01_000207_000361,0.0,Person
VIRAT_S_050000_01_000207_000361,3128.0,Person
VIRAT_S_050000_01_000207_000361,3114.0,Person
VIRAT_S_050000_01_000207_000361,3049.0,Person
VIRAT_S_050000_01_000207_000361,3205.0,Person
VIRAT_S_050000_04_000640_000690,1249.0,Person
VIRAT_S_050000_04_000640_000690,105.0,Person
VIRAT_S_050000_05_000696_000732,0.0,Person
VIRAT_S_050000_05_000696_000732,0.0,Person
VIRAT_S_050000_05_000696_000732,0.0,Person
VIRAT_S_050000_05_000696_000732,553.0,Person
VIRAT_S_050000_05_000696_000732,507.0,Person
VIRAT_S_050000_07_001014_001126,1553.0,Person
VIRAT_S_050000_07_001014_001126,313.0,Person
VIRAT_S_050000_07_001014_001126,515.0,Person
VIRAT_S_050000_07_001014_001126,1137.0,Person
VIRAT_S_050000_07_001014_001126,1020.0,Person
VIRAT_S_050000_07_001014_001126,1937.0,Person
VIRAT_S_050000_07_001014_001126,2426.0,Person
VIRAT_S_050000_07_001014_001126,1646.0,Person
VIRAT_S_050000_07_001014_001126,1881.0,Person
VIRAT_S_050000_07_001014_001126,2745.0,Person
VIRAT_S_050000_07_001014_001126,2671.0,Person
VIRAT_S_050000_07_001014_001126,2679.0,Person
VIRAT_S_050000_07_001014_001126,2699.0,Person
VIRAT_S_050000_07_001014_001126,2573.0,Person
VIRAT_S_050000_07_001014_001126,2450.0,Vehicle
VIRAT_S_050000_07_001014_001126,2376.0,Vehicle
VIRAT_S_050000_12_001591_001619,380.0,Vehicle
VIRAT_S_000007,7603.0,Person
VIRAT_S_000007,10501.0,Vehicle
VIRAT_S_000007,5660.0,Prop
VIRAT_S_000007,14936.0,Prop
VIRAT_S_000007,9874.0,Person
VIRAT_S_000007,9933.0,Person
VIRAT_S_000007,14549.0,Prop
VIRAT_S_000007,2495.0,Person
VIRAT_S_000007,14352.0,Vehicle
VIRAT_S_000007,14675.0,Vehicle
VIRAT_S_000008,2209.0,Prop
VIRAT_S_000200_02_000479_000635,727.0,Person
VIRAT_S_000200_02_000479_000635,727.0,Vehicle
VIRAT_S_000201_00_000018_000380,8760.0,Person
VIRAT_S_000201_00_000018_000380,8019.0,Bike
VIRAT_S_000201_00_000018_000380,21.0,Person
VIRAT_S_000201_00_000018_000380,5219.0,Person
VIRAT_S_000201_00_000018_000380,10458.0,Person
VIRAT_S_000201_00_000018_000380,3544.0,Person
VIRAT_S_000201_00_000018_000380,6682.0,Person
VIRAT_S_000201_00_000018_000380,3544.0,Person
VIRAT_S_000201_00_000018_000380,7714.0,Prop
VIRAT_S_000201_01_000384_000589,1933.0,Person
VIRAT_S_000201_01_000384_000589,3653.0,Person
VIRAT_S_000201_04_000682_000822,2184.0,Parking_Meter
VIRAT_S_000203_01_000171_000345,1341.0,Person
VIRAT_S_000204_09_001768_001849,1190.0,Person
VIRAT_S_000204_09_001768_001849,1190.0,Vehicle
VIRAT_S_000205_03_000860_000922,570.0,Person
VIRAT_S_040003_01_000083_000193,1684.0,Vehicle
VIRAT_S_040003_02_000197_000552,7970.0,Person
VIRAT_S_040003_02_000197_000552,3270.0,Person
VIRAT_S_040003_02_000197_000552,8046.0,Person
VIRAT_S_040003_02_000197_000552,8042.0,Person
VIRAT_S_040003_02_000197_000552,9832.0,Vehicle
VIRAT_S_040005_06_000886_001016,2062.0,Vehicle
VIRAT_S_040100_04_000626_000689,434.0,Prop
VIRAT_S_040100_04_000626_000689,941.0,Person
VIRAT_S_040100_05_000696_000762,1165.0,Person
VIRAT_S_040100_05_000696_000762,725.0,Person
VIRAT_S_040100_05_000696_000762,1341.0,Door
VIRAT_S_040100_05_000696_000762,286.0,Person
VIRAT_S_040100_05_000696_000762,286.0,Door
VIRAT_S_040100_05_000696_000762,306.0,Person
VIRAT_S_040100_05_000696_000762,306.0,Door
VIRAT_S_040100_05_000696_000762,421.0,Vehicle
VIRAT_S_040100_05_000696_000762,261.0,Door
VIRAT_S_040100_05_000696_000762,261.0,Person
VIRAT_S_040100_05_000696_000762,1318.0,Person
VIRAT_S_040100_05_000696_000762,1318.0,Door
VIRAT_S_040100_05_000696_000762,569.0,Person
VIRAT_S_040100_05_000696_000762,136.0,Vehicle
VIRAT_S_040100_06_000767_000988,1959.0,Door
VIRAT_S_040100_06_000767_000988,1959.0,Person
VIRAT_S_040100_06_000767_000988,3884.0,Person
VIRAT_S_040100_06_000767_000988,3079.0,Vehicle
VIRAT_S_040100_06_000767_000988,3984.0,Vehicle
VIRAT_S_040100_06_000767_000988,5168.0,Vehicle
VIRAT_S_040100_06_000767_000988,2119.0,Vehicle
VIRAT_S_040100_06_000767_000988,185.0,Vehicle
VIRAT_S_040100_09_001186_001533,8579.0,Prop
VIRAT_S_040100_09_001186_001533,8087.0,Person
VIRAT_S_040100_09_001186_001533,8115.0,Person
VIRAT_S_040100_09_001186_001533,5598.0,Prop
VIRAT_S_040100_09_001186_001533,4588.0,Vehicle
VIRAT_S_040101_05_000722_001547,2985.0,Person
VIRAT_S_040101_05_000722_001547,566.0,Person
VIRAT_S_040101_05_000722_001547,7354.0,Person
VIRAT_S_040101_05_000722_001547,17677.0,Person
VIRAT_S_040101_05_000722_001547,17677.0,Vehicle
VIRAT_S_040101_05_000722_001547,23135.0,Prop
VIRAT_S_040101_05_000722_001547,23420.0,Prop
VIRAT_S_040101_05_000722_001547,7140.0,Vehicle
VIRAT_S_040101_05_000722_001547,8413.0,Person
VIRAT_S_040101_05_000722_001547,13270.0,Person
VIRAT_S_040101_05_000722_001547,17417.0,Vehicle
VIRAT_S_040101_05_000722_001547,17417.0,Person
VIRAT_S_040101_05_000722_001547,18541.0,Push_Pulled_Object
VIRAT_S_040101_05_000722_001547,21823.0,Person
VIRAT_S_040101_05_000722_001547,22789.0,Push_Pulled_Object
VIRAT_S_040101_05_000722_001547,420.0,Person
VIRAT_S_040101_05_000722_001547,5487.0,Person
VIRAT_S_040101_05_000722_001547,5955.0,Person
VIRAT_S_040101_05_000722_001547,8553.0,Person
VIRAT_S_040101_05_000722_001547,13421.0,Person
VIRAT_S_040101_05_000722_001547,17519.0,Person
VIRAT_S_040101_05_000722_001547,17519.0,Vehicle
VIRAT_S_040101_05_000722_001547,18062.0,Person
VIRAT_S_040101_05_000722_001547,18391.0,Person
VIRAT_S_040101_05_000722_001547,22285.0,Person
VIRAT_S_040101_05_000722_001547,7463.0,Person
VIRAT_S_040101_05_000722_001547,5946.0,Person
VIRAT_S_040101_05_000722_001547,7330.0,Person
VIRAT_S_040101_05_000722_001547,7330.0,Vehicle
VIRAT_S_040101_05_000722_001547,7439.0,Person
VIRAT_S_040101_05_000722_001547,17491.0,Person
VIRAT_S_040101_05_000722_001547,17491.0,Vehicle
VIRAT_S_040101_05_000722_001547,17630.0,Person
VIRAT_S_040101_05_000722_001547,17630.0,Vehicle
VIRAT_S_040101_05_000722_001547,18062.0,Person
VIRAT_S_040101_05_000722_001547,7394.0,Person
VIRAT_S_040101_05_000722_001547,7394.0,Vehicle
VIRAT_S_040101_05_000722_001547,7518.0,Vehicle
VIRAT_S_040101_05_000722_001547,7518.0,Person
VIRAT_S_040101_05_000722_001547,17601.0,Person
VIRAT_S_040101_05_000722_001547,17601.0,Vehicle
VIRAT_S_040101_05_000722_001547,17784.0,Person
VIRAT_S_040101_05_000722_001547,17784.0,Vehicle
VIRAT_S_040101_05_000722_001547,19569.0,Prop
VIRAT_S_040101_05_000722_001547,19639.0,Prop
VIRAT_S_040101_05_000722_001547,19719.0,Prop
