video,frame,subject_type
VIRAT_S_000000,4637.0,Other
VIRAT_S_000001,17139.0,Other
VIRAT_S_000001,16829.0,Person
VIRAT_S_000001,20165.0,Person
VIRAT_S_000001,20091.0,Person
VIRAT_S_000002,960.0,Other
VIRAT_S_000005,20617.0,Prop
VIRAT_S_000005,19849.0,Push_Pulled_Object
VIRAT_S_000201_08_001652_001838,2996.0,Person
VIRAT_S_000201_08_001652_001838,3937.0,Person
VIRAT_S_000201_08_001652_001838,3162.0,Person
VIRAT_S_000204_04_000738_000977,3940.0,Person
VIRAT_S_000204_04_000738_000977,1427.0,Vehicle
VIRAT_S_000204_04_000738_000977,2807.0,Vehicle
VIRAT_S_000204_04_000738_000977,2807.0,Person
VIRAT_S_000204_04_000738_000977,2326.0,Vehicle
VIRAT_S_000204_04_000738_000977,2422.0,Vehicle
VIRAT_S_040001_01_000448_001101,17474.0,Vehicle
VIRAT_S_040001_01_000448_001101,14420.0,Vehicle
VIRAT_S_040001_01_000448_001101,11800.0,Vehicle
VIRAT_S_040001_01_000448_001101,17474.0,Vehicle
VIRAT_S_040101_02_000224_000440,5067.0,Vehicle
VIRAT_S_040101_03_000460_000551,1006.0,Person
VIRAT_S_040101_04_000562_000679,3037.0,Person
VIRAT_S_040102_08_000986_001090,2638.0,Person
VIRAT_S_040102_13_001557_001589,758.0,Person
VIRAT_S_040104_01_000227_000457,3003.0,Person
VIRAT_S_040104_01_000227_000457,3003.0,Other
VIRAT_S_040104_01_000227_000457,3637.0,Person
VIRAT_S_040104_05_000939_001116,634.0,Person
VIRAT_S_040104_06_001121_001241,403.0,Vehicle
VIRAT_S_040104_06_001121_001241,2261.0,Person
VIRAT_S_040104_08_001353_001470,1192.0,Person
VIRAT_S_040104_08_001353_001470,1192.0,Person
VIRAT_S_040104_08_001353_001470,668.0,Person
VIRAT_S_040104_08_001353_001470,1905.0,Bike
VIRAT_S_040104_08_001353_001470,1912.0,Vehicle
VIRAT_S_050000_01_000207_000361,4211.0,Person
VIRAT_S_050000_01_000207_000361,4477.0,Construction_Vehicle
VIRAT_S_050000_01_000207_000361,810.0,Vehicle
VIRAT_S_050000_01_000207_000361,3403.0,Person
VIRAT_S_050000_01_000207_000361,3511.0,Person
VIRAT_S_050000_01_000207_000361,1778.0,Person
VIRAT_S_050000_01_000207_000361,3114.0,Person
VIRAT_S_050000_04_000640_000690,132.0,Person
VIRAT_S_050000_04_000640_000690,1249.0,Person
VIRAT_S_050000_04_000640_000690,105.0,Person
VIRAT_S_050000_07_001014_001126,1553.0,Person
VIRAT_S_050000_07_001014_001126,313.0,Person
VIRAT_S_050000_07_001014_001126,515.0,Person
VIRAT_S_050000_07_001014_001126,1137.0,Person
VIRAT_S_050000_07_001014_001126,2671.0,Person
VIRAT_S_050000_07_001014_001126,2655.0,Person
VIRAT_S_050000_07_001014_001126,2573.0,Person
VIRAT_S_050000_07_001014_001126,2450.0,Vehicle
VIRAT_S_050000_07_001014_001126,145.0,Vehicle
VIRAT_S_050000_07_001014_001126,2240.0,Vehicle
VIRAT_S_050000_12_001591_001619,380.0,Vehicle
VIRAT_S_050000_12_001591_001619,46.0,Vehicle
VIRAT_S_000007,3424.0,Person
VIRAT_S_000007,14822.0,Other
VIRAT_S_000007,15620.0,Other
VIRAT_S_000007,14845.0,Vehicle
VIRAT_S_000007,9874.0,Person
VIRAT_S_000007,14936.0,Prop
VIRAT_S_000007,14549.0,Prop
VIRAT_S_000007,11573.0,Vehicle
VIRAT_S_000007,5508.0,Vehicle
VIRAT_S_000007,16269.0,Vehicle
VIRAT_S_000007,510.0,Vehicle
VIRAT_S_000007,15890.0,Vehicle
VIRAT_S_000007,9005.0,Person
VIRAT_S_000007,7476.0,Person
VIRAT_S_000008,1741.0,Other
VIRAT_S_000200_02_000479_000635,491.0,Person
VIRAT_S_000201_00_000018_000380,7723.0,Person
VIRAT_S_000201_00_000018_000380,3635.0,Person
VIRAT_S_000201_04_000682_000822,2184.0,Parking_Meter
VIRAT_S_000204_09_001768_001849,2023.0,Vehicle
VIRAT_S_000205_01_000197_000342,649.0,Vehicle
VIRAT_S_000205_02_000409_000566,3206.0,Person
VIRAT_S_040003_02_000197_000552,8292.0,Vehicle
VIRAT_S_040003_02_000197_000552,3897.0,Person
VIRAT_S_040003_02_000197_000552,9032.0,Vehicle
VIRAT_S_040003_02_000197_000552,9832.0,Vehicle
VIRAT_S_040003_02_000197_000552,7416.0,Vehicle
VIRAT_S_040005_06_000886_001016,460.0,Vehicle
VIRAT_S_040100_05_000696_000762,421.0,Vehicle
VIRAT_S_040100_05_000696_000762,136.0,Vehicle
VIRAT_S_040100_06_000767_000988,1959.0,Person
VIRAT_S_040100_06_000767_000988,3079.0,Vehicle
VIRAT_S_040100_06_000767_000988,5097.0,Vehicle
VIRAT_S_040100_06_000767_000988,3984.0,Vehicle
VIRAT_S_040100_06_000767_000988,3337.0,Person
VIRAT_S_040100_07_001043_001099,694.0,Person
VIRAT_S_040100_09_001186_001533,4588.0,Vehicle
VIRAT_S_040101_05_000722_001547,17677.0,Person
VIRAT_S_040101_05_000722_001547,7140.0,Person
VIRAT_S_040101_05_000722_001547,7140.0,Vehicle
VIRAT_S_040101_05_000722_001547,13270.0,Person
VIRAT_S_040101_05_000722_001547,13421.0,Person
VIRAT_S_040101_05_000722_001547,17519.0,Vehicle
VIRAT_S_040101_05_000722_001547,18062.0,Door
VIRAT_S_040101_05_000722_001547,18391.0,Door
VIRAT_S_040101_05_000722_001547,7439.0,Person
